academic year start,academic year end,Type,Interest,1-year T-bills
1969,1970,Fixed,0.07,
1970,1971,Fixed,0.07,
1971,1972,Fixed,0.07,
1972,1973,Fixed,0.07,
1973,1974,Fixed,0.07,
1974,1975,Fixed,0.07,
1975,1976,Fixed,0.07,
1976,1977,Fixed,0.07,
1977,1978,Fixed,0.07,
1978,1979,Fixed,0.07,
1979,1980,Fixed,0.07,
1980,1981,Fixed,0.09,
1981,1982,Fixed,0.09,
1982,1983,Fixed,0.09,
1983,1984,Fixed,0.08,
1984,1985,Fixed,0.08,
1985,1986,Fixed,0.08,
1986,1987,Fixed,0.08,
1987,1988,Fixed,0.08,
1988,1989,Variable,0.1,0.0812
1989,1990,Variable,0.1,0.0812
1990,1991,Variable,0.0962,0.0637
1991,1992,Variable,0.0739,0.0414
